,Um,Ur,Ud,C_target
622,0.83834,0.90101,0.80388,0.0
623,0.8383,0.90101,0.80392,0.0
624,0.83856,0.90111,0.80385,0.0
625,0.83875,0.90123,0.8039,0.0
626,0.8384,0.90125,0.80387,0.0
627,0.83848,0.90111,0.80388,0.0
628,0.83837,0.90127,0.80391,0.0
629,0.83856,0.90128,0.80394,0.0
630,0.83853,0.90131,0.8039,0.0
631,0.83856,0.90141,0.80395,0.0
632,0.8386,0.90169,0.80389,0.0
633,0.8388,0.90162,0.80393,0.0
634,0.83873,0.90151,0.80394,0.0
635,0.83879,0.90161,0.80398,0.0
636,0.83883,0.9017,0.80395,0.0
637,0.83885,0.90158,0.804,0.0
638,0.83899,0.90163,0.80395,0.0
639,0.83891,0.90164,0.80391,0.0
640,0.83888,0.90182,0.80393,0.0
641,0.83888,0.90176,0.80394,0.0
642,0.83884,0.90174,0.80395,0.0
643,0.83886,0.90172,0.80393,0.0
644,0.8388,0.90175,0.80396,0.0
645,0.83891,0.90167,0.80394,0.0
646,0.83892,0.90169,0.80392,0.0
647,0.83889,0.90176,0.8039,0.0
648,0.83878,0.90179,0.80396,0.0
649,0.83884,0.90178,0.80397,0.0
650,0.83903,0.90182,0.80394,0.0
651,0.83888,0.90161,0.80396,0.0
652,0.83881,0.90158,0.8039,0.0
653,0.83894,0.90168,0.80393,0.0
654,0.83875,0.90172,0.80396,0.0
655,0.83875,0.90135,0.80391,0.0
656,0.83869,0.9014,0.80394,0.0
657,0.83873,0.90125,0.80386,0.0
658,0.83884,0.90128,0.80381,0.0
659,0.83869,0.90115,0.80387,0.0
660,0.83857,0.90111,0.80389,0.0
661,0.83847,0.90099,0.80384,0.0
