,C,Um,Ur,Ud,C_target
5401,-42.659584,0.70253,0.70184,0.77632,1.8
5402,19.52702,0.70249,0.70198,0.77643,1.8
5403,-72.249214,0.70255,0.70178,0.77637,1.8
5404,29.609871,0.70261,0.70219,0.77636,1.8
5405,-34.482811,0.70264,0.70202,0.77641,1.8
5406,41.259026,0.70272,0.70239,0.77642,1.8
5407,10.672791,0.70264,0.70217,0.77646,1.8
5408,94.073891,0.70261,0.70238,0.77648,1.8
5409,-2.602024,0.70272,0.70224,0.77651,1.8
5410,17.88871,0.70289,0.70257,0.77651,1.8
5411,-23.621498,0.70283,0.70234,0.77654,1.8
5412,32.602833,0.70301,0.70279,0.77653,1.8
5413,190.132629,0.70272,0.70279,0.77655,1.8
5414,95.637108,0.70293,0.70284,0.77651,1.8
5415,-23.582432,0.70314,0.70279,0.77657,1.8
5416,122.718475,0.70294,0.70293,0.77657,1.8
5417,57.104519,0.703,0.70284,0.77657,1.8
5418,31.958088,0.70302,0.70279,0.77646,1.8
5419,-146.364334,0.70327,0.70264,0.77647,1.8
5420,-37.246895,0.70316,0.70278,0.77657,1.8
5421,-10.599533,0.70289,0.70247,0.77653,1.8
5422,-29.370014,0.70281,0.70229,0.77652,1.8
5423,-28.770491,0.70284,0.70233,0.77647,1.8
5424,38.472092,0.70255,0.70213,0.77637,1.8
5425,32.684238,0.70223,0.70164,0.77631,1.8
5426,68.896408,0.7023,0.70185,0.77639,1.8
5427,24.783218,0.70228,0.7017,0.77643,1.8
5428,52.34967,0.70225,0.70174,0.7764,1.8
5429,133.815704,0.70209,0.70172,0.77639,1.8
5430,36.655769,0.70224,0.70167,0.7764,1.8
5431,10.397215,0.70235,0.70175,0.77644,1.8
5432,37.838783,0.70232,0.70179,0.77641,1.8
5433,39.55666,0.70237,0.70187,0.77641,1.8
5434,59.833538,0.7025,0.70212,0.77647,1.8
5435,54.028355,0.70246,0.70204,0.7764,1.8
5436,-36.107052,0.70275,0.70218,0.77644,1.8
5437,118.513519,0.70265,0.70251,0.77652,1.8
5438,64.575676,0.70278,0.70254,0.7765,1.8
5439,59.134506,0.70283,0.70261,0.77648,1.8
5440,28.351542,0.70278,0.70244,0.77654,1.8
5441,122.808052,0.70264,0.7025,0.77653,1.8
5442,-98.794571,0.70317,0.70261,0.77653,1.8
5443,34.361954,0.70292,0.70266,0.77651,1.8
5444,-37.083542,0.70305,0.70262,0.77656,1.8
5445,5.825935,0.70303,0.70273,0.77655,1.8
5446,-42.123234,0.70358,0.70337,0.77668,1.8
5447,-58.415115,0.70359,0.70334,0.77668,1.8
5448,-22.523918,0.70348,0.70329,0.7767,1.8
5449,57.167522,0.70341,0.70344,0.77665,1.8
5450,-54.111973,0.70345,0.70315,0.77663,1.8
5451,41.46471,0.70326,0.70318,0.77663,1.8
5452,-79.383163,0.70345,0.70308,0.77657,1.8
5453,-180.611496,0.70356,0.70297,0.77654,1.8
5454,-18.947271,0.70314,0.7028,0.77654,1.8
5455,16.510122,0.70311,0.70289,0.77653,1.8
5456,54.575756,0.70321,0.70314,0.77656,1.8
5457,5.895761,0.70304,0.70275,0.77646,1.8
5458,93.941254,0.70266,0.70244,0.77644,1.8
5459,36.859478,0.70279,0.70247,0.77643,1.8
5460,85.653458,0.70276,0.70258,0.77639,1.8
5461,-38.839325,0.70278,0.70221,0.77644,1.8
